"Task ID","Difficulty Level","Prompt","Canonical Solution"
"21.2","Medium general prompt","Find all RPKI valid prefixes?","MATCH (p:Prefix)-[:CATEGORIZED]->(:Tag {label: 'RPKI Valid'}) RETURN DISTINCT p.prefix"
"22.1","Easy technical prompt","Find the distinct prefix of Prefix related to Country with country_code 'JP'.","MATCH (p:Prefix)-[:COUNTRY]->(:Country {country_code: 'JP'}) RETURN DISTINCT p.prefix"
"22.2","Easy general prompt","Give me all prefixes in Japan.","MATCH (p:Prefix)-[:COUNTRY]->(:Country {country_code: 'JP'}) RETURN DISTINCT p.prefix"
"23.1","Easy technical prompt","Find all AS sibling of the AS with asn 2497. Return only the asn.","MATCH (:AS {asn: 2497})-[:SIBLING_OF]->(a:AS) RETURN a.asn"
"23.2","Easy general prompt","Find AS2497's sibling ASNs.","MATCH (:AS {asn: 2497})-[:SIBLING_OF]->(a:AS) RETURN a.asn"
"24.1","Easy technical prompt","Find the distinct ip of IP nodes for which HostName with name 'google.com' resolves to.","MATCH (:HostName {name: 'google.com'})-[:RESOLVES_TO]->(i:IP) RETURN DISTINCT i.ip"
"24.2","Easy general prompt","What are the IP addresses for google.com?","MATCH (:HostName {name: 'google.com'})-[:RESOLVES_TO]->(i:IP) RETURN DISTINCT i.ip"
"25.1","Easy technical prompt","Find the asn of the AS which is the target of the AtlasMeasurement with id 17635549.","MATCH (:AtlasMeasurement {id: 17635549})-[:TARGET]->(a:AS) RETURN a.asn"
"25.2","Easy general prompt","What is the ASN targeted by Atlas measurement 17635549?","MATCH (:AtlasMeasurement {id: 17635549})-[:TARGET]->(a:AS) RETURN a.asn"
"26.1","Easy technical prompt","Find the name of the HostName node which is the target of the AtlasMeasurement with id 17635549.","MATCH (:AtlasMeasurement {id: 17635549})-[:TARGET]->(h:HostName) RETURN h.name"
"26.2","Easy general prompt","What is the target hostname for Atlas measurement 17635549?","MATCH (:AtlasMeasurement {id: 17635549})-[:TARGET]->(h:HostName) RETURN h.name"
"27.1","Easy technical prompt","Find the ip of the IP node which is the target of AtlasMeasurement with id 17635549.","MATCH (:AtlasMeasurement {id: 17635549})-[:TARGET]->(i:IP) RETURN i.ip"
"27.2","Easy general prompt","What is the target IP address for Atlas measurement 17635549?","MATCH (:AtlasMeasurement {id: 17635549})-[:TARGET]->(i:IP) RETURN i.ip"
"28.1","Easy technical prompt","Find the id of the OpaqueID corresponding to Prefix with prefix 102.209.224.0/21. Return only the OpaqueID's id.","MATCH (:Prefix {prefix: '102.209.224.0/21'})-[:AVAILABLE]->(o:OpaqueID) RETURN o.id"
"28.2","Easy general prompt","What is the opaque id for 102.209.224.0/21?","MATCH (:Prefix {prefix: '102.209.224.0/21'})-[:AVAILABLE]->(o:OpaqueID) RETURN o.id"
"29.1","Easy technical prompt","Find all the distinct Tag's labels that categorize the AS with asn 2497.","MATCH (:AS {asn:2497})-[:CATEGORIZED]-(t:Tag) RETURN DISTINCT t.label"
"29.2","Easy general prompt","Find all tags for AS2497.","MATCH (:AS {asn:2497})-[:CATEGORIZED]-(t:Tag) RETURN DISTINCT t.label"
"30.1","Easy technical prompt","From the Ranking with name 'Tranco top 1M' find the name of the DomainName that is ranked first.","MATCH (d:DomainName)-[:RANK {rank: 1}]->(:Ranking {name: 'Tranco top 1M'}) RETURN d.name"
"30.2","Easy general prompt","What is the first domain name in 'Tranco top 1M'?","MATCH (d:DomainName)-[:RANK {rank: 1}]->(:Ranking {name: 'Tranco top 1M'}) RETURN d.name"
"31.1","Easy technical prompt","Find population Estimate value for Country Japan with country_code 'JP'.","MATCH (:Country {country_code: 'JP'})-[p:POPULATION]-(:Estimate) RETURN p.value"
"31.2","Easy general prompt","What is Japan's estimated population?","MATCH (:Country {country_code: 'JP'})-[p:POPULATION]-(:Estimate) RETURN p.value"
"32.1","Medium technical prompt","Find the number of AS in Country with country_code 'CN' and 'HK'.","MATCH (a:AS)-[:COUNTRY]-(cc:Country) WHERE cc.country_code = 'CN' OR cc.country_code = 'HK' WITH cc.country_code AS code, count(DISTINCT a) AS c RETURN c"
"32.2","Medium general prompt","What is the number of ASes registered in China and Hong Kong?","MATCH (a:AS)-[:COUNTRY]-(cc:Country) WHERE cc.country_code = 'CN' OR cc.country_code = 'HK' WITH cc.country_code AS code, count(DISTINCT a) AS c RETURN c"
"33.1","Medium technical prompt","Find the total number of  AS in Country with country_code 'CN' that also orignate Prefixes.","MATCH (:Country {country_code: 'CN'})-[:COUNTRY]-(as:AS)-[:ORIGINATE]-(:Prefix) RETURN count(DISTINCT as) AS totalASWithPrefix"
"33.2","Medium general prompt","What is the number of Chinese ASes that originate prefixes in BGP?","MATCH (:Country {country_code: 'CN'})-[:COUNTRY]-(as:AS)-[:ORIGINATE]-(:Prefix) RETURN count(DISTINCT as) AS totalASWithPrefix"
"34.1","Easy technical prompt","Find all Facilities where AS with asn 4134 and AS with asn 23764 are located in.","MATCH (a:AS)-[:LOCATED_IN]-(fac:Facility)-[:LOCATED_IN]-(b:AS) WHERE a.asn = 4134 AND b.asn = 23764 RETURN fac"
"34.2","Easy general prompt","Find the common facilities between AS4134 and AS23764.","MATCH (a:AS)-[:LOCATED_IN]-(fac:Facility)-[:LOCATED_IN]-(b:AS) WHERE a.asn = 4134 AND b.asn = 23764 RETURN fac"
"35.1","Medium technical prompt","Find the distinct country_code of Country where for Facilities where both AS with asn 4134 and AS with asn 23764 are located.","MATCH (a:AS)-[:LOCATED_IN]-(fac:Facility)-[:LOCATED_IN]-(b:AS) WHERE a.asn = 4134 AND b.asn = 23764 MATCH (fac)-[:COUNTRY]-(c:Country) RETURN DISTINCT c.country_code"
"35.2","Medium general prompt","Find the country codes for all the common facilities between AS4134 and AS23764.","MATCH (a:AS)-[:LOCATED_IN]-(fac:Facility)-[:LOCATED_IN]-(b:AS) WHERE a.asn = 4134 AND b.asn = 23764 MATCH (fac)-[:COUNTRY]-(c:Country) RETURN DISTINCT c.country_code"
"36.1","Hard technical prompt","Find all ASes corresponding to the OpaqueID of AS with asn 4134 and AS with asn 23764. Then find the Country for facilities where all these ASes are. Return the distinct country_code and the corresponding list of ASes.","MATCH (a:AS)-[:ASSIGNED]-(oid:OpaqueID) WHERE a.asn IN [4134, 23764] WITH oid MATCH (oid)--(other:AS)--(fac:Facility)--(cc:Country) RETURN DISTINCT cc.country_code, collect(DISTINCT other.asn)"
"36.2","Hard general prompt","Find the country codes of facilities where for all ASes that correspond to the OpaqueID's of AS4134 and AS23764. Return the distinct country_code and the corresponding list of ASes.","MATCH (a:AS)-[:ASSIGNED]-(oid:OpaqueID) WHERE a.asn IN [4134, 23764] WITH oid MATCH (oid)--(other:AS)--(fac:Facility)--(cc:Country) RETURN DISTINCT cc.country_code, collect(DISTINCT other.asn)"
"37.1","Medium technical prompt","Find all nodes that have relationships to the Prefix with prefix 8.8.8.0/24. Do not take into account the direction of the relationships.","MATCH (gdns:Prefix {prefix:'8.8.8.0/24'})--(neighbor) RETURN neighbor"
"37.2","Medium general prompt","Return everything that is related with 8.8.8.0/24.","MATCH (gdns:Prefix {prefix:'8.8.8.0/24'})--(neighbor) RETURN neighbor"
"38.1","Easy technical prompt","Find the Country connected (reference_name 'nro.delegated_stats') with AS with asn 2497.","MATCH (iij:AS {asn:2497})-[{reference_name:'nro.delegated_stats'}]-(cc:Country) RETURN cc"
"38.2","Easy general prompt","In which country is AS2497 registered in the delegated stats?","MATCH (iij:AS {asn:2497})-[{reference_name:'nro.delegated_stats'}]-(cc:Country) RETURN cc"
"39.1","Medium technical prompt","Find the IXP where AS with asn 2497 is member of and then the Country corresponding to these IXP.","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"39.2","Medium general prompt","Which IXPs and corresponding countries is AS2497 member of?","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"40.1","Hard technical prompt","Find all the DomainName nodes ranked in top 50000 that resolves to an IP that is part of a prefix originated by the AS with asn 2497.","MATCH (:Ranking)-[r:RANK]-(dn:DomainName)--(:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(iij:AS {asn:2497}) WHERE r.rank < 50000 RETURN dn"
"40.2","Hard general prompt","Retrieve the top 50000 domain names associated with the IP addresses announce by AS2497.","MATCH (:Ranking)-[r:RANK]-(dn:DomainName)--(:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(iij:AS {asn:2497}) WHERE r.rank < 50000 RETURN dn"
"41.1","Medium technical prompt","Find all the Facility nodes located in Country with country_code 'CN' or 'HK' and count the number of ASes located in these facilities. Return the facility name and the number of ASes.","MATCH (c:Country)--(f:Facility)--(a:AS) WHERE c.country_code = 'CN' OR c.country_code = 'HK' RETURN f.name, count(DISTINCT a) AS nb_as ORDER BY nb_as DESC"
"41.2","Medium general prompt","Count the number of ASes for each facility in China and Hong Kong.","MATCH (c:Country)--(f:Facility)--(a:AS) WHERE c.country_code = 'CN' OR c.country_code = 'HK' RETURN f.name, count(DISTINCT a) AS nb_as ORDER BY nb_as DESC"
"42.1","Medium technical prompt","Find ASes for which the Country given by NRO has country_code 'CN' and return all the Facility nodes where these ASes are located in.","MATCH (net_country:Country)-[:COUNTRY {reference_org:'NRO'}]-(net:AS)-[:LOCATED_IN]-(fac:Facility) WHERE net_country.country_code = 'CN' RETURN fac"
"42.2","Medium general prompt","Find all the facilities where Chinese ASes are.","MATCH (net_country:Country)-[:COUNTRY {reference_org:'NRO'}]-(net:AS)-[:LOCATED_IN]-(fac:Facility) WHERE net_country.country_code = 'CN' RETURN fac"
"43.1","Easy technical prompt","Find all the AS nodes that are located in Facility nodes linked to Country nodes with country_code 'CN' or 'HK'.","MATCH (net:AS)-[:LOCATED_IN]-(fac:Facility)--(fac_country:Country) WHERE fac_country.country_code = 'HK' OR fac_country.country_code = 'CN' RETURN net"
"43.2","Easy general prompt","Retrieve all the ASes that are located in facilities in China or Hong Kong.","MATCH (net:AS)-[:LOCATED_IN]-(fac:Facility)--(fac_country:Country) WHERE fac_country.country_code = 'HK' OR fac_country.country_code = 'CN' RETURN net"
"44.1","Medium technical prompt","Find the country_code for the Prefix nodes that are originated by AS nodes located in Country with country_code 'CN'.","MATCH (net_country:Country)-[:COUNTRY]-(net:AS)-[:ORIGINATE]-(pfx:Prefix)-[:COUNTRY]-(pfx_country:Country) WHERE net_country.country_code = 'CN' RETURN pfx_country.country_code"
"44.2","Medium general prompt","Get the country code of prefixes announced by Chinese ASes.","MATCH (net_country:Country)-[:COUNTRY]-(net:AS)-[:ORIGINATE]-(pfx:Prefix)-[:COUNTRY]-(pfx_country:Country) WHERE net_country.country_code = 'CN' RETURN pfx_country.country_code"
"45.1","Medium technical prompt","Find the country_code of Country nodes related to the Prefix nodes that originated from AS nodes located in Country with country_code 'HK'.","MATCH (net_country:Country)-[:COUNTRY]-(net:AS)-[:ORIGINATE]-(pfx:Prefix)-[:COUNTRY]-(pfx_country:Country) WHERE net_country.country_code = 'HK' RETURN pfx_country.country_code"
"45.2","Medium general prompt","Get the country code of prefixes announced by ASes of Hong Kong.","MATCH (net_country:Country)-[:COUNTRY]-(net:AS)-[:ORIGINATE]-(pfx:Prefix)-[:COUNTRY]-(pfx_country:Country) WHERE net_country.country_code = 'HK' RETURN pfx_country.country_code"
"46.1","Medium technical prompt","Find the asn of the AS with the largest number of Prefix nodes located in Country with country_code 'CN' or 'HK'.","MATCH (pfx_country:Country)-[:COUNTRY]-(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE pfx_country.country_code = 'HK' OR pfx_country.country_code = 'CN' WITH net, COUNT(distinct pfx) as nb_pfx RETURN net.asn ORDER BY nb_pfx DESC LIMIT 1"
"46.2","Medium general prompt","Get the As with the largest number of prefixes in China or Hong Kong.","MATCH (pfx_country:Country)-[:COUNTRY]-(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE pfx_country.country_code = 'HK' OR pfx_country.country_code = 'CN' WITH net, COUNT(distinct pfx) as nb_pfx RETURN net.asn ORDER BY nb_pfx DESC LIMIT 1"
"47.1","Medium technical prompt","Find all the corresponding IP nodes, Prefix nodes and AS nodes for all the HostName nodes which name ends with '.cn' and that are ranked below 10000.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.cn' AND r.rank<10000 RETURN ip, pfx, net"
"47.2","Medium general prompt","Get the IP, prefix, and ASes for the hostname ending with .cn and ranked below 10000.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.cn' AND r.rank<10000 RETURN ip, pfx, net"
"48.1","Medium technical prompt","Find the AS nodes for which prefixes have IP addresses that resolves to HostName nodes with name ending with '.cn' and that have a rank below 1000000. Return the asn of the AS and the total number of distinct HostName nodes.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.cn' AND r.rank<100000 RETURN net.asn,  count(DISTINCT dn) AS nb_domain_name"
"48.2","Medium general prompt","Find the ASN and number of hostname for hostnames ending with .cn and ranked in the top 100k.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.cn' AND r.rank<100000 RETURN net.asn,  count(DISTINCT dn) AS nb_domain_name"
"49.1","Easy technical prompt","Find the name of Name nodes directly connected to the node corresponding to AS node with asn 2497.","MATCH (a:AS {asn:2497})--(n:Name) RETURN n.name"
"49.2","Easy general prompt","Find all the names of AS2497.","MATCH (a:AS {asn:2497})--(n:Name) RETURN n.name"
"50.1","Easy technical prompt","Find nodes of any type that are connected to the node corresponding to Prefix '8.8.8.0/24'.","MATCH (gdns:Prefix {prefix:'8.8.8.0/24'})--(neighbor) RETURN neighbor"
"50.2","Easy general prompt","Get everything related to prefix '8.8.8.0/24'.","MATCH (gdns:Prefix {prefix:'8.8.8.0/24'})--(neighbor) RETURN neighbor"
"51.1","Easy technical prompt","Get the Country node directly connected to AS with asn 2497 by a relationship with reference_name 'nro.delegated_stats'.","MATCH (iij:AS {asn:2497})-[{reference_name:'nro.delegated_stats'}]-(cc:Country) RETURN cc"
"51.2","Easy general prompt","Find the country of AS2497 in the NRO's delegated stats.","MATCH (iij:AS {asn:2497})-[{reference_name:'nro.delegated_stats'}]-(cc:Country) RETURN cc"
"52.1","Easy technical prompt","Find IXP nodes related to the AS node with asn 2497, and then the Country node corresponding to each IXP node.","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"52.2","Easy general prompt","Get the IXPs where AS2497 is present and corresponding countries.","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"53.1","Medium technical prompt","Select the HostName nodes in top 50k rankings that resolves to an IP node that belong to a prefix originated by AS with asn 15169.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)-[:PART_OF]-(pfx:Prefix)-[:ORIGINATE]-(google:AS {asn:15169}) WHERE r.rank < 50000 RETURN dn"
"53.2","Medium general prompt","Get the hostnames hosted by Google that are in the top 50k.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)-[:PART_OF]-(pfx:Prefix)-[:ORIGINATE]-(google:AS {asn:15169}) WHERE r.rank < 50000 RETURN dn"
"54.1","Medium technical prompt","From the top 10k HostName nodes select HostName nodes that ends with '.jp' and return the corresponding IP nodes, Prefix nodes, and AS nodes.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<10000 RETURN ip, pfx, net"
"54.2","Medium general prompt","Give the IP, prefix, and AS nodes corresponding to the top 10k hostnames in Japan.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<10000 RETURN ip, pfx, net"
"55.1","Medium technical prompt","Select from Ranking with name 'IHR country ranking: Total AS (IR)' the top 20 Ases, return the Ases and their PEER_WITH relationships.","MATCH (a:AS)-[ra:RANK]->(:Ranking {name: 'IHR country ranking: Total AS (IR)'})<-[rb:RANK]-(b:AS)-[p:PEERS_WITH]-(a) WHERE ra.rank < 20 AND rb.rank < 20 AND p.rel = 0 RETURN a, p, b"
"55.2","Medium general prompt","Retrieve the AS topology for IHR's top 20 ASes in Iran.","MATCH (a:AS)-[ra:RANK]->(:Ranking {name: 'IHR country ranking: Total AS (IR)'})<-[rb:RANK]-(b:AS)-[p:PEERS_WITH]-(a) WHERE ra.rank < 20 AND rb.rank < 20 AND p.rel = 0 RETURN a, p, b"
"56.1","Hard technical prompt","Select the  AS nodes that AS node with asn 2501 depends on and return the shortest path using PEERS_WITH relationships to these AS2501 to these AS nodes.","MATCH (a:AS {asn:2501})-[h:DEPENDS_ON {af:4}]->(d:AS) WITH a, COLLECT(DISTINCT d) AS dependencies UNWIND dependencies as d MATCH p = allShortestPaths((a)-[:PEERS_WITH*]-(d)) WHERE a.asn <> d.asn AND all(r IN relationships(p) WHERE r.af = 4) AND all(n IN nodes(p) WHERE n IN dependencies) RETURN p"
"56.2","Hard general prompt","Retrieve the peerings between AS2501 and its dependencies.","MATCH (a:AS {asn:2501})-[h:DEPENDS_ON {af:4}]->(d:AS) WITH a, COLLECT(DISTINCT d) AS dependencies UNWIND dependencies as d MATCH p = allShortestPaths((a)-[:PEERS_WITH*]-(d)) WHERE a.asn <> d.asn AND all(r IN relationships(p) WHERE r.af = 4) AND all(n IN nodes(p) WHERE n IN dependencies) RETURN p"
"57.1","Easy technical prompt","Find the Country of IXPs where AS node with asn 2497 is member of. Return the country and ixp nodes.","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"57.2","Easy general prompt","Find the IXPs and corresponding countries where AS2497 is member of.","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"58.1","Easy technical prompt","Find the Country of the Facility where AS node with asn 2497 is located. Return both the Facility and Country nodes.","MATCH (iij:AS {asn:2497})--(ix:Facility)--(cc:Country) RETURN ix, cc"
"58.2","Easy general prompt","Find the co-location facilities and corresponding countries where AS2497 is located.","MATCH (iij:AS {asn:2497})--(ix:Facility)--(cc:Country) RETURN ix, cc"
"59.1","Easy technical prompt","Find the Country of the Prefixes originated by AS node with asn 2497. Return the country and prefixes nodes.","MATCH (iij:AS {asn:2497})-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN pfx, cc"
"59.2","Easy general prompt","Get the geolocation for each pefix announced by AS2497.","MATCH (iij:AS {asn:2497})-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN pfx, cc"
"60.1","Medium technical prompt","Find the Prefix nodes that originate from ASes that depends on AS node with asn 2497 and the corresponding Country nodes.","MATCH (iij:AS {asn:2497})<-[:DEPENDS_ON]-(customer:AS)-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN pfx, cc"
