"Task ID","Difficulty Level","Prompt","Canonical Solution"
"13","Easy","Find all movies' titles and released years produced by a person named 'Stefan Arndt'.","MATCH (p:Person {name: 'Stefan Arndt'})-[:PRODUCED]->(m:Movie) RETURN m.title, m.released"
"14","Medium","Find all movies' titles directed by a person who acted in a movie with a person named 'Ed Harris'.","MATCH (:Person {name: 'Ed Harris'})-[:ACTED_IN]->(:Movie)<-[:ACTED_IN]-(coactor)-[:DIRECTED]->(m:Movie) RETURN DISTINCT m.title"
"15","Easy","Find all movies' titles written by a person named 'Lilly Wachowski'.","MATCH (p:Person {name: 'Lilly Wachowski'})-[:WROTE]->(m:Movie) RETURN m.title"
"16","Easy","Find all person nodes followed by a person named 'James Thompson'.","MATCH (:Person {name: 'James Thompson'})-[:FOLLOWS]->(p:Person) RETURN p"
"17","Easy","Find all people's names who have acted in the movie titled 'The Matrix'.","MATCH (:Movie {title: 'The Matrix'})<-[:ACTED_IN]-(p:Person) RETURN p.name"
"18","Easy","Find all people's names who have directed the movie with the tagline 'Welcome to the Real World'.","MATCH (:Movie {tagline: 'Welcome to the Real World'})<-[:DIRECTED]-(p:Person) RETURN p.name"
"19","Easy","Find all people's names who have produced the movie titled 'The Matrix'.","MATCH (:Movie {title: 'The Matrix'})<-[:PRODUCED]-(p:Person) RETURN p.name"
"20","Easy","Find all people's names who have written the movie titled 'Top Gun'.","MATCH (:Movie {title: 'Top Gun'})<-[:WROTE]-(p:Person) RETURN p.name"
"21","Medium","Find all people's names who have reviewed a movie released in 2000 with a rating greater than 4.","MATCH (p:Person)-[r:REVIEWED]-(m:Movie) WHERE m.released = 2000 AND r.rating > 4 RETURN DISTINCT p.name"
"22","Easy","Find all movies' titles with the tagline 'The rest of his life begins now.' and their respective reviewers' names.","MATCH (m:Movie {tagline: 'The rest of his life begins now.'})<-[r:REVIEWED]-(reviewer) RETURN m.title, reviewer.name"
"23","Easy","Find all movies' titles released in 2000 and their directors' names.","MATCH (m:Movie {released: 2000})<-[:DIRECTED]-(director) RETURN m.title, director.name"
"24","Easy","Find all distinct movies' titles where a person both produced and wrote.","MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:WROTE]-(p) RETURN DISTINCT m.title"
"25","Easy","Find all movies' titles where a person both acted in and directed.","MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(p) RETURN m.title"
"26","Easy","Find all movies' titles released in 2000 and their respective reviewers' ratings.","MATCH (m:Movie {released: 2000})<-[r:REVIEWED]-(reviewer) RETURN m.title, r.rating"
"27","Easy","Find all movies' titles where a person both acted in and directed with their roles and names.","MATCH (p:Person)-[r1:ACTED_IN]->(m:Movie)<-[r2:DIRECTED]-(p) RETURN m.title, r1.roles, p.name"
"28","Easy","Find all movies where a person both acted in and directed with their titles and taglines.","MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(p) RETURN m.title, m.tagline"
"29","Medium","Find all people's names who have acted in at least two movies.","MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WITH p, COUNT(m) AS movies_count WHERE movies_count >= 2 RETURN p.name"
"30","Medium","Find all people's names who have directed more than one movie.","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WITH p, COUNT(m) AS directed_count WHERE directed_count > 1 RETURN p.name"
"31","Medium","Find all people's names who have produced exactly two movies.","MATCH (p:Person)-[:PRODUCED]->(m:Movie) WITH p, COUNT(m) AS produced_count WHERE produced_count = 2 RETURN p.name"
"32","Medium","Find all people's names who have written less than five movies.","MATCH (p:Person)-[:WROTE]->(m:Movie) WITH p, COUNT(m) AS written_count WHERE written_count < 5 RETURN p.name"
"33","Medium","Find all people's names who have reviewed more than four movies.","MATCH (p:Person)-[:REVIEWED]->(m:Movie) WITH p, COUNT(m) AS reviewed_count WHERE reviewed_count > 4 RETURN p.name"
"34","Medium","Find all distinct movies' titles produced by people born before 1970.","MATCH (p:Person)-[:PRODUCED]->(m:Movie) WHERE p.born < 1970 RETURN DISTINCT m.title"
"35","Medium","Find all movies' titles directed by people born between 1950 and 1960.","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE p.born >= 1950 AND p.born < 1960 RETURN m.title"
"36","Medium","Find all distinct movies' titles acted in by people born before 1990.","MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WHERE p.born < 1990 RETURN DISTINCT m.title"
